hash_partida,hash_tf,data_partida,periodo,temporada,team_hash_a,team_hash_b,fg_made_a,fg_att_a,fg3_made_a,fg3_att_a,fg2_made_a,fg2_att_a,ft_made_a,ft_att_a,fg_made_b,fg_att_b,fg3_made_b,fg3_att_b,fg2_made_b,fg2_att_b,ft_made_b,ft_att_b,pace_a,pace_b,match_pace,pts_a,pts_b,a_mov,total,a_mov_cumsum,a_mov_prior
Mogi2024Pinheiros2024,Mogi2024Pinheiros2024Final,2024-06-29,Final,2024,Mogi2024,Pinheiros2024,62,61,7,31,17,30,7,18,79,58,9,25,14,33,24,29,73.92,77.76,75.84,62,79,-17,141,-34,
AEGB2024Cerrado2024,AEGB2024Cerrado2024Final,2024-06-30,Final,2024,AEGB2024,Cerrado2024,46,62,5,24,13,38,5,12,77,82,10,35,22,47,3,7,73.28,79.08,76.18,46,77,-31,123,-62,
Caixa Brasília Basquete2024Minas2024,Caixa Brasília Basquete2024Minas2024Final,2024-06-30,Final,2024,Caixa Brasília Basquete2024,Minas2024,67,79,9,34,16,45,8,9,81,67,7,26,24,41,12,16,85.96,74.04,80.0,67,81,-14,148,-28,
B.Cearense2024UNIFACISA2024,B.Cearense2024UNIFACISA2024Final,2024-06-30,Final,2024,B.Cearense2024,UNIFACISA2024,64,74,5,31,22,43,5,8,86,73,7,20,26,53,13,23,87.52,72.12,79.82,64,86,-22,150,-44,
Caixa Brasília Basquete2024Cerrado2024,Caixa Brasília Basquete2024Cerrado2024Final,2024-07-01,Final,2024,Caixa Brasília Basquete2024,Cerrado2024,66,65,5,33,16,32,19,28,68,77,5,28,20,49,13,23,92.32,85.12,88.72,66,68,-2,134,-4,
Bauru Basket2024Minas2024,Bauru Basket2024Minas2024Final,2024-07-01,Final,2024,Bauru Basket2024,Minas2024,44,59,3,21,13,38,9,13,54,55,8,31,8,24,14,18,74.72,67.92,71.32,44,54,-10,98,-20,
AEGB2024UNIFACISA2024,AEGB2024UNIFACISA2024Final,2024-07-01,Final,2024,AEGB2024,UNIFACISA2024,63,67,7,20,18,47,6,11,75,54,6,22,16,32,25,46,93.84,81.24,87.53999999999999,63,75,-12,138,-24,
AEGB2024B.Cearense2024,AEGB2024B.Cearense2024Final,2024-07-02,Final,2024,AEGB2024,B.Cearense2024,53,65,7,20,14,45,4,8,79,72,6,28,22,44,17,28,76.52,75.32,75.91999999999999,53,79,-26,132,-52,
Bauru Basket2024Cerrado2024,Bauru Basket2024Cerrado2024Final,2024-07-02,Final,2024,Bauru Basket2024,Cerrado2024,99,79,13,31,24,48,12,17,101,82,9,35,27,47,20,25,89.48,94.0,91.74000000000001,99,101,-2,200,-2,
Caixa Brasília Basquete2024UNIFACISA2024,Caixa Brasília Basquete2024UNIFACISA2024Final,2024-07-02,Final,2024,Caixa Brasília Basquete2024,UNIFACISA2024,67,66,8,29,18,37,7,10,40,60,3,23,11,37,9,22,74.4,76.68,75.54,67,40,27,107,54,
ADRM2024Flamengo2024,ADRM2024Flamengo2024Final,2024-07-12,Final,2024,ADRM2024,Flamengo2024,56,65,3,24,19,41,9,16,86,86,8,30,23,56,16,27,81.04,78.88,79.96000000000001,56,86,-30,142,-60,
Campo Mourão2024SESI Franca2024,Campo Mourão2024SESI Franca2024Final,2024-07-12,Final,2024,Campo Mourão2024,SESI Franca2024,51,62,5,23,17,39,2,8,57,62,1,18,17,44,20,26,73.52,69.44,71.47999999999999,51,57,-6,108,-12,
Caxias2024São José Basketball2024,Caxias2024São José Basketball2024Final,2024-07-12,Final,2024,Caxias2024,São José Basketball2024,71,66,2,25,24,41,17,26,80,60,7,20,18,40,23,34,94.44,82.96000000000001,88.7,71,80,-9,151,-18,
Botafogo2024Thalia/PH.D Esportes2024,Botafogo2024Thalia/PH.D Esportes2024Final,2024-07-12,Final,2024,Botafogo2024,Thalia/PH.D Esportes2024,76,54,6,20,19,34,20,26,67,71,4,25,22,46,11,24,81.44,87.56,84.5,76,67,9,143,18,
Pato Basquete2024União Corinthians2024,Pato Basquete2024União Corinthians2024Final,2024-07-12,Final,2024,Pato Basquete2024,União Corinthians2024,72,53,9,20,18,33,9,18,75,74,4,24,28,50,7,17,74.92,83.48,79.2,72,75,-3,147,-6,
São Paulo FC2024Vasco/Tijuca2024,São Paulo FC2024Vasco/Tijuca2024Final,2024-07-12,Final,2024,São Paulo FC2024,Vasco/Tijuca2024,71,68,9,36,17,32,10,17,51,75,4,29,14,46,11,15,77.48,73.6,75.53999999999999,71,51,20,122,40,
Botafogo2024Caxias2024,Botafogo2024Caxias2024Final,2024-07-13,Final,2024,Botafogo2024,Caxias2024,83,74,4,21,29,53,13,20,90,53,13,23,18,30,15,26,85.8,75.44,80.62,83,90,-7,173,-14,
Campo Mourão2024Flamengo2024,Campo Mourão2024Flamengo2024Final,2024-07-13,Final,2024,Campo Mourão2024,Flamengo2024,59,60,3,13,20,47,10,24,84,70,5,25,25,45,19,29,77.56,85.76,81.66,59,84,-25,143,-50,
São José Basketball2024São Paulo FC2024,São José Basketball2024São Paulo FC2024Final,2024-07-13,Final,2024,São José Basketball2024,São Paulo FC2024,92,70,10,30,22,40,18,23,77,61,10,25,11,36,25,35,87.12,84.4,85.76,92,77,15,169,30,
SESI Franca2024Thalia/PH.D Esportes2024,SESI Franca2024Thalia/PH.D Esportes2024Final,2024-07-13,Final,2024,SESI Franca2024,Thalia/PH.D Esportes2024,75,62,7,24,21,38,12,15,48,63,7,28,11,35,5,12,72.6,75.28,73.94,75,48,27,123,54,
Corinthians2024União Corinthians2024,Corinthians2024União Corinthians2024Final,2024-07-13,Final,2024,Corinthians2024,União Corinthians2024,84,78,7,35,23,43,17,22,54,70,4,22,17,48,8,15,75.68,77.6,76.64,84,54,30,138,60,
Pato Basquete2024Vasco/Tijuca2024,Pato Basquete2024Vasco/Tijuca2024Final,2024-07-13,Final,2024,Pato Basquete2024,Vasco/Tijuca2024,52,47,4,18,14,29,12,15,64,65,5,23,19,42,11,18,61.6,70.92,66.26,52,64,-12,116,-24,
Bauru Basket2024Cruzeiro2024,Bauru Basket2024Cruzeiro2024Final,2024-07-14,Final,2024,Bauru Basket2024,Cruzeiro2024,52,59,8,30,11,29,6,7,58,57,3,19,15,38,19,26,74.08,61.44,67.75999999999999,52,58,-6,110,-12,
Cerrado2024IVV/CETAF2024,Cerrado2024IVV/CETAF2024Final,2024-07-14,Final,2024,Cerrado2024,IVV/CETAF2024,55,72,5,29,14,43,12,21,68,48,5,18,15,30,23,28,83.24,70.32,76.78,55,68,-13,123,-26,
AEGB2024LDPG2024,AEGB2024LDPG2024Final,2024-07-14,Final,2024,AEGB2024,LDPG2024,50,63,5,23,10,40,15,25,85,65,6,29,28,36,11,22,84.0,82.68,83.34,50,85,-35,135,-70,
B.Cearense2024Mogi2024,B.Cearense2024Mogi2024Final,2024-07-14,Final,2024,B.Cearense2024,Mogi2024,43,57,3,27,13,30,8,8,98,83,12,36,27,47,8,14,70.52000000000001,78.16,74.34,43,98,-55,141,-110,
Caixa Brasília Basquete2024Pinheiros2024,Caixa Brasília Basquete2024Pinheiros2024Final,2024-07-14,Final,2024,Caixa Brasília Basquete2024,Pinheiros2024,66,65,12,41,10,24,10,14,97,72,7,28,25,44,26,35,86.16,83.4,84.78,66,97,-31,163,-62,
Caxias2024SESI Franca2024,Caxias2024SESI Franca2024Final,2024-07-14,Final,2024,Caxias2024,SESI Franca2024,69,66,9,21,16,45,10,17,63,63,8,22,17,41,5,6,67.48,72.64,70.06,69,63,6,132,12,
Pato Basquete2024São José Basketball2024,Pato Basquete2024São José Basketball2024Final,2024-07-14,Final,2024,Pato Basquete2024,São José Basketball2024,47,66,2,22,18,44,5,9,87,76,9,25,26,51,8,12,74.96,78.28,76.62,47,87,-40,134,-80,
Botafogo2024São Paulo FC2024,Botafogo2024São Paulo FC2024Final,2024-07-14,Final,2024,Botafogo2024,São Paulo FC2024,89,62,10,27,22,35,15,23,86,57,6,17,20,40,28,34,94.12,85.96000000000001,90.04,89,86,3,175,6,
Flamengo2024Thalia/PH.D Esportes2024,Flamengo2024Thalia/PH.D Esportes2024Final,2024-07-14,Final,2024,Flamengo2024,Thalia/PH.D Esportes2024,91,72,9,28,30,44,4,8,75,80,9,39,21,41,6,13,79.52,90.72,85.12,91,75,16,166,32,
Paulistano2024UNIFACISA2024,Paulistano2024UNIFACISA2024Final,2024-07-14,Final,2024,Paulistano2024,UNIFACISA2024,112,82,12,33,31,49,14,19,48,49,4,22,13,27,10,12,86.36,61.28,73.82,112,48,64,160,128,
ADRM2024União Corinthians2024,ADRM2024União Corinthians2024Final,2024-07-14,Final,2024,ADRM2024,União Corinthians2024,55,66,3,22,20,44,6,20,86,77,7,30,26,47,13,17,74.8,76.48,75.64,55,86,-31,141,-62,
Corinthians2024Vasco/Tijuca2024,Corinthians2024Vasco/Tijuca2024Final,2024-07-14,Final,2024,Corinthians2024,Vasco/Tijuca2024,89,66,15,34,12,32,20,26,47,74,5,31,14,43,4,8,74.44,77.52,75.97999999999999,89,47,42,136,84,
Cerrado2024Cruzeiro2024,Cerrado2024Cruzeiro2024Final,2024-07-15,Final,2024,Cerrado2024,Cruzeiro2024,48,71,6,33,12,38,6,10,91,72,10,25,23,47,15,24,74.4,76.56,75.48,48,91,-43,139,-86,
Caxias2024Flamengo2024,Caxias2024Flamengo2024Final,2024-07-15,Final,2024,Caxias2024,Flamengo2024,66,68,4,25,23,43,8,18,74,69,9,24,18,45,11,28,80.92,77.32,79.12,66,74,-8,140,-16,
AEGB2024IVV/CETAF2024,AEGB2024IVV/CETAF2024Final,2024-07-15,Final,2024,AEGB2024,IVV/CETAF2024,62,63,7,23,16,40,9,15,89,66,3,18,31,48,18,25,79.6,87.0,83.3,62,89,-27,151,-54,
LDPG2024Minas2024,LDPG2024Minas2024Final,2024-07-15,Final,2024,LDPG2024,Minas2024,61,67,5,26,14,41,18,26,66,79,5,32,19,47,13,18,81.44,82.92,82.18,61,66,-5,127,-10,
Bauru Basket2024Mogi2024,Bauru Basket2024Mogi2024Final,2024-07-15,Final,2024,Bauru Basket2024,Mogi2024,58,61,6,29,12,32,16,22,77,59,7,21,23,38,10,14,72.68,73.16,72.92,58,77,-19,135,-38,
