hash_partida,hash_tf,data_partida,periodo,temporada,team_hash_a,team_hash_b,fg_made_a,fg_att_a,fg3_made_a,fg3_att_a,fg2_made_a,fg2_att_a,ft_made_a,ft_att_a,fg_made_b,fg_att_b,fg3_made_b,fg3_att_b,fg2_made_b,fg2_att_b,ft_made_b,ft_att_b,pace_a,pace_b,match_pace,pts_a,pts_b,a_mov,total,a_mov_cumsum,a_mov_prior
Flamengo2023Mogi2023,Flamengo2023Mogi2023Final,2023-06-16,Final,2023,Flamengo2023,Mogi2023,71,65,5,20,24,45,8,15,77,62,10,37,14,25,19,24,81.6,77.56,79.58,71,77,-6,148,-12,
Botafogo2023Pinheiros2023,Botafogo2023Pinheiros20231,2023-06-16,1,2023,Botafogo2023,Pinheiros2023,18,19,2,9,5,10,2,2,28,18,6,10,5,8,0,0,17.88,19.0,18.439999999999998,18,28,-10,46,-10,0.0
Botafogo2023Pinheiros2023,Botafogo2023Pinheiros20232,2023-06-16,2,2023,Botafogo2023,Pinheiros2023,15,17,2,9,2,8,5,7,29,19,3,6,10,13,0,6,28.08,22.64,25.36,15,29,-14,44,-24,-10.0
Botafogo2023Pinheiros2023,Botafogo2023Pinheiros20233,2023-06-16,3,2023,Botafogo2023,Pinheiros2023,24,15,3,6,6,9,3,6,23,16,2,8,6,8,5,6,22.64,22.64,22.64,24,23,1,47,-23,-24.0
Botafogo2023Pinheiros2023,Botafogo2023Pinheiros20234,2023-06-16,4,2023,Botafogo2023,Pinheiros2023,16,20,2,10,3,10,4,7,22,15,1,7,7,8,5,13,25.08,22.72,23.9,16,22,-6,38,-29,-23.0
Botafogo2023Pinheiros2023,Botafogo2023Pinheiros2023Final,2023-06-16,Final,2023,Botafogo2023,Pinheiros2023,73,71,9,34,16,37,14,22,102,68,12,31,28,37,10,25,90.68,85.0,87.84,73,102,-29,175,-58,
Bauru Basket2023São José Basketball2023,Bauru Basket2023São José Basketball20231,2023-06-16,1,2023,Bauru Basket2023,São José Basketball2023,15,19,0,5,6,14,3,4,9,15,0,6,4,9,1,2,20.76,19.880000000000003,20.32,15,9,6,24,6,0.0
Bauru Basket2023São José Basketball2023,Bauru Basket2023São José Basketball20232,2023-06-16,2,2023,Bauru Basket2023,São José Basketball2023,16,14,3,10,3,4,1,2,10,14,0,3,4,11,2,5,19.880000000000003,16.2,18.04,16,10,6,26,12,6.0
Bauru Basket2023São José Basketball2023,Bauru Basket2023São José Basketball20233,2023-06-16,3,2023,Bauru Basket2023,São José Basketball2023,19,14,2,5,3,9,7,9,21,19,0,2,8,17,5,11,22.96,20.84,21.9,19,21,-2,40,10,12.0
Bauru Basket2023São José Basketball2023,Bauru Basket2023São José Basketball20234,2023-06-16,4,2023,Bauru Basket2023,São José Basketball2023,13,13,0,3,5,10,3,4,31,15,3,5,6,10,10,12,22.759999999999998,24.28,23.52,13,31,-18,44,-8,10.0
