event_id,date,home_team,away_team,home_q1,away_q1,home_ot1,away_ot1,home_ot2,away_ot2,home_final,away_final
8751613,2024-08-31 11:15:00,Cruzeiro LDB U22,Franca U22,18,20,74,75,,,74,75
8741844,2024-08-30 18:00:00,Paulistano U22,Pinheiros U22,16,14,82,70,,,82,70
8741843,2024-08-30 15:45:00,Corinthians U22,Flamengo U22,23,23,82,70,,,82,70
8741632,2024-08-30 13:30:00,Sao Jose U22,Franca U22,17,13,85,59,,,85,59
8741842,2024-08-30 11:15:00,Minas LDB U22,Cruzeiro LDB U22,29,22,83,70,,,83,70
8740743,2024-08-29 17:30:00,LDPG U22,Caxias do Sul LDB U22,22,26,77,89,,,77,89
8739996,2024-08-29 15:15:00,Vasco da Gama/Tijuca LDB U22,Pato Basquete LDB U22,11,14,67,62,,,67,62
8739995,2024-08-29 10:45:00,Cerrado Basquete LDB U22,Bauru LDB U22,25,21,74,91,,,74,91
8739994,2024-08-29 08:30:00,Unifacisa LDB U22,Basquete Cearense LDB U22,15,15,51,55,,,51,55
8735244,2024-08-28 19:45:00,Caxias do Sul LDB U22,Botafogo RJ U22,26,14,4,18,65,79,65,79
8735120,2024-08-28 18:00:00,Flamengo U22,Paulistano U22,7,18,59,75,,,59,75
8734955,2024-08-28 17:30:00,Sao Paulo LDB U22,LDPG U22,16,13,78,70,,,78,70
8734770,2024-08-28 15:45:00,Cruzeiro LDB U22,Sao Jose U22,11,26,71,87,,,71,87
8734772,2024-08-28 15:15:00,Uniao Corinthians LDB U22,Pato Basquete LDB U22,19,13,2,10,68,76,68,76
8734771,2024-08-28 15:15:00,Soc. Thalia/SMEIJ LDB U22,BRB/Brasilia LDB U22,12,25,77,82,,,77,82
8734247,2024-08-28 13:30:00,Pinheiros U22,Corinthians U22,14,16,68,83,,,68,83
8734268,2024-08-28 13:00:00,Mogi Basquete LDB U22,IVV/CETAF LDB U22,15,14,84,72,,,84,72
8734079,2024-08-28 13:00:00,Campo Mourao LDB U22,Vasco da Gama/Tijuca LDB U22,14,15,55,62,,,55,62
8733926,2024-08-28 11:15:00,Franca U22,Minas LDB U22,9,23,63,71,,,63,71
8733871,2024-08-28 10:45:00,Bauru LDB U22,Basquete Cearense LDB U22,11,5,66,44,,,66,44
8733870,2024-08-28 08:30:00,Cerrado Basquete LDB U22,Unifacisa LDB U22,21,12,78,56,,,78,56
8730169,2024-08-27 18:00:00,Sao Jose U22,Paulistano U22,23,24,76,88,,,76,88
8730267,2024-08-27 15:45:00,Cruzeiro LDB U22,Flamengo U22,16,18,64,68,,,64,68
8730042,2024-08-27 13:30:00,Franca U22,Pinheiros U22,7,18,62,67,,,62,67
8729782,2024-08-27 11:15:00,Minas LDB U22,Corinthians U22,16,14,78,83,,,78,83
8725830,2024-08-26 19:45:00,Caxias do Sul LDB U22,IVV/CETAF LDB U22,11,18,61,62,,,61,62
8725677,2024-08-26 18:00:00,Paulistano U22,Cruzeiro LDB U22,19,8,84,58,,,84,58
8725641,2024-08-26 17:30:00,LDPG U22,Soc. Thalia/SMEIJ LDB U22,21,23,91,76,,,91,76
8725412,2024-08-26 15:15:00,Mogi Basquete LDB U22,Botafogo RJ U22,20,28,66,84,,,66,84
8725343,2024-08-26 15:15:00,Cerrado Basquete LDB U22,Pato Basquete LDB U22,20,16,63,80,,,63,80
8725264,2024-08-26 13:00:00,Sao Paulo LDB U22,BRB/Brasilia LDB U22,26,21,94,91,,,94,91
8725204,2024-08-26 13:00:00,Campo Mourao LDB U22,Basquete Cearense LDB U22,24,7,82,47,,,82,47
8725035,2024-08-26 11:15:00,Corinthians U22,Franca U22,26,25,80,82,,,80,82
8724573,2024-08-26 10:45:00,Vasco da Gama/Tijuca LDB U22,Bauru LDB U22,9,15,62,55,,,62,55
8724494,2024-08-26 08:30:00,Unifacisa LDB U22,Uniao Corinthians LDB U22,17,18,53,63,,,53,63
8720363,2024-08-25 19:45:00,Soc. Thalia/SMEIJ LDB U22,IVV/CETAF LDB U22,9,11,63,62,,,63,62
8720339,2024-08-25 17:30:00,LDPG U22,Caxias do Sul LDB U22,16,20,69,72,,,69,72
8720290,2024-08-25 15:15:00,Sao Paulo LDB U22,Mogi Basquete LDB U22,26,19,79,74,,,79,74
8720289,2024-08-25 15:15:00,Basquete Cearense LDB U22,Pato Basquete LDB U22,2,10,39,59,,,39,59
8720256,2024-08-25 13:00:00,Campo Mourao LDB U22,Cerrado Basquete LDB U22,12,21,78,79,,,78,79
8720231,2024-08-25 13:00:00,BRB/Brasilia LDB U22,Botafogo RJ U22,16,16,75,77,,,75,77
8719984,2024-08-25 10:45:00,Unifacisa LDB U22,Vasco da Gama/Tijuca LDB U22,13,20,44,73,,,44,73
8719957,2024-08-25 08:30:00,Uniao Corinthians LDB U22,Bauru LDB U22,13,11,81,71,,,81,71
8711176,2024-08-24 19:45:00,Mogi Basquete LDB U22,BRB/Brasilia LDB U22,16,19,75,66,,,75,66
8711221,2024-08-24 17:30:00,Caxias do Sul LDB U22,Soc. Thalia/SMEIJ LDB U22,15,5,85,38,,,85,38
8711220,2024-08-24 15:15:00,IVV/CETAF LDB U22,LDPG U22,5,20,56,64,,,56,64
8711177,2024-08-24 15:15:00,Pato Basquete LDB U22,Campo Mourao LDB U22,13,27,62,85,,,62,85
8711168,2024-08-24 13:00:00,Botafogo RJ U22,Sao Paulo LDB U22,26,22,76,80,,,76,80
8711159,2024-08-24 13:00:00,Bauru LDB U22,Unifacisa LDB U22,27,8,81,33,,,81,33
8711161,2024-08-24 10:45:00,Vasco da Gama/Tijuca LDB U22,Uniao Corinthians LDB U22,12,12,59,60,,,59,60
8711160,2024-08-24 08:30:00,Cerrado Basquete LDB U22,Basquete Cearense LDB U22,18,13,63,53,,,63,53
8533133,2024-07-21 19:45:00,Paulistano U22,Minas LDB U22,15,22,83,64,,,83,64
8533134,2024-07-21 15:15:00,Cruzeiro LDB U22,Basquete Cearense LDB U22,18,16,96,40,,,96,40
8533137,2024-07-21 13:00:00,Mogi Basquete LDB U22,BRB/Brasilia LDB U22,18,14,84,76,,,84,76
8533136,2024-07-21 10:45:00,LDPG U22,Cerrado Basquete LDB U22,20,9,78,65,,,78,65
8533135,2024-07-21 08:30:00,IVV/CETAF LDB U22,Bauru LDB U22,24,9,61,57,,,61,57
8527972,2024-07-20 17:30:00,Unifacisa LDB U22,Mogi Basquete LDB U22,15,27,64,90,,,64,90
8527971,2024-07-20 15:15:00,Minas LDB U22,Pinheiros U22,7,15,60,80,,,60,80
8527970,2024-07-20 13:00:00,Basquete Cearense LDB U22,IVV/CETAF LDB U22,12,21,45,69,,,45,69
8527969,2024-07-20 10:45:00,BRB/Brasilia LDB U22,Cruzeiro LDB U22,12,8,56,65,,,56,65
8527968,2024-07-20 08:30:00,Bauru LDB U22,LDPG U22,16,21,74,77,,,74,77
8523266,2024-07-19 19:45:00,Vasco da Gama/Tijuca LDB U22,Caxias do Sul LDB U22,12,22,52,88,,,52,88
8523265,2024-07-19 19:45:00,Paulistano U22,Cerrado Basquete LDB U22,25,12,84,59,,,84,59
8523263,2024-07-19 17:30:00,Mogi Basquete LDB U22,Minas LDB U22,25,22,73,90,,,73,90
8523262,2024-07-19 17:30:00,Flamengo U22,Corinthians U22,17,16,15,13,74,72,74,72
8523261,2024-07-19 15:15:00,Franca U22,ADRM/Maringa LDB U22,15,10,70,46,,,70,46
