hash_partida,hash_tf,data_partida,periodo,temporada,team_hash_a,team_hash_b,fg_made_a,fg_att_a,fg3_made_a,fg3_att_a,fg2_made_a,fg2_att_a,ft_made_a,ft_att_a,fg_made_b,fg_att_b,fg3_made_b,fg3_att_b,fg2_made_b,fg2_att_b,ft_made_b,ft_att_b,pace_a,pace_b,match_pace,pts_a,pts_b,a_mov,total,a_mov_cumsum,a_mov_prior
Cruzeiro2024Minas2024,Cruzeiro2024Minas20244,2024-07-17,4,2024,Cruzeiro2024,Minas2024,16,13,1,8,2,5,9,14,15,19,1,12,2,7,8,11,24.16,30.84,27.5,16,15,1,31,13,12.0
AEGB2024Mogi2024,AEGB2024Mogi20241,2024-07-17,1,2024,AEGB2024,Mogi2024,14,15,1,3,4,12,3,6,22,17,2,7,5,10,6,8,19.64,18.52,19.08,14,22,-8,36,-8,0.0
AEGB2024Mogi2024,AEGB2024Mogi20242,2024-07-17,2,2024,AEGB2024,Mogi2024,14,13,1,3,3,10,5,7,30,24,6,11,5,13,2,3,18.08,24.32,21.2,14,30,-16,44,-24,-8.0
AEGB2024Mogi2024,AEGB2024Mogi20243,2024-07-17,3,2024,AEGB2024,Mogi2024,19,19,1,4,7,15,2,3,36,21,2,6,12,15,6,8,23.32,24.52,23.92,19,36,-17,55,-41,-24.0
AEGB2024Mogi2024,AEGB2024Mogi20244,2024-07-17,4,2024,AEGB2024,Mogi2024,16,14,0,4,4,10,8,8,24,19,3,10,6,9,3,5,18.52,23.2,20.86,16,24,-8,40,-49,-41.0
Bauru Basket2024Paulistano2024,Bauru Basket2024Paulistano20241,2024-07-17,1,2024,Bauru Basket2024,Paulistano2024,10,22,2,12,2,10,0,0,20,14,4,8,3,6,2,2,18.0,11.88,14.94,10,20,-10,30,-10,0.0
Bauru Basket2024Paulistano2024,Bauru Basket2024Paulistano20242,2024-07-17,2,2024,Bauru Basket2024,Paulistano2024,13,14,2,6,3,8,1,2,21,10,3,6,3,4,6,7,16.880000000000003,13.08,14.98,13,21,-8,34,-18,-10.0
Bauru Basket2024Paulistano2024,Bauru Basket2024Paulistano20243,2024-07-17,3,2024,Bauru Basket2024,Paulistano2024,11,17,3,10,1,7,0,0,23,15,4,10,4,5,3,4,17.0,15.760000000000002,16.380000000000003,11,23,-12,34,-30,-18.0
Bauru Basket2024Paulistano2024,Bauru Basket2024Paulistano20244,2024-07-17,4,2024,Bauru Basket2024,Paulistano2024,16,15,2,7,5,8,0,0,18,16,3,10,4,6,1,1,15.0,17.44,16.22,16,18,-2,34,-32,-30.0
Cerrado2024Pinheiros2024,Cerrado2024Pinheiros20241,2024-07-17,1,2024,Cerrado2024,Pinheiros2024,17,17,1,7,6,10,2,2,22,20,3,8,6,12,1,2,18.88,18.88,18.88,17,22,-5,39,-5,0.0
