team,oponente,data_partida,periodo,tipo,nome,starter,min_sec,fg_made,fg_att,fg_pct,fg3_made,fg3_att,fg3_pct,fg2_made,fg2_att,fg2_pct,ft_made,ft_att,ft_pct,reb_of,reb_def,reb_tot,ast,stl,blk,to,pf,site_tail
União Corinthians,Flamengo,2024-06-20,Final,jogador,Coelho,0,191,0,0,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
União Corinthians,Flamengo,2024-06-20,Final,jogador,Cadury,0,922,1,3,0.0,0,0,0.0,0,3,0.0,1,2,50.0,0,3,3,1,1,0,0,1,1
União Corinthians,Flamengo,2024-06-20,Final,jogador,Vitinho,0,1133,5,6,33.3,1,3,33.3,1,3,33.3,0,0,0.0,2,0,2,2,2,0,1,0,6
União Corinthians,Flamengo,2024-06-20,Final,jogador,Arthur,1,1453,6,11,18.2,0,3,0.0,2,8,25.0,2,3,66.7,3,1,4,0,3,0,4,4,1
União Corinthians,Flamengo,2024-06-20,Final,jogador,Mateus,0,941,7,11,18.2,2,8,25.0,0,3,0.0,1,2,50.0,2,4,6,0,0,0,1,1,1
União Corinthians,Flamengo,2024-06-20,Final,jogador,Thaylor,1,1444,4,12,8.3,0,2,0.0,1,10,10.0,2,2,100.0,0,5,5,1,2,0,1,3,-3
União Corinthians,Flamengo,2024-06-20,Final,jogador,Renan,0,1522,1,6,0.0,0,1,0.0,0,5,0.0,1,2,50.0,2,3,5,1,1,0,1,2,0
União Corinthians,Flamengo,2024-06-20,Final,jogador,Ferreira,1,797,3,3,33.3,0,1,0.0,1,2,50.0,1,4,25.0,1,3,4,1,1,0,5,3,2
União Corinthians,Flamengo,2024-06-20,Final,jogador,Abner,1,1303,4,8,25.0,0,0,0.0,2,8,25.0,0,0,0.0,4,1,5,0,0,0,3,0,2
União Corinthians,Flamengo,2024-06-20,Final,jogador,Montipõ,1,1408,6,10,30.0,0,3,0.0,3,7,42.9,0,0,0.0,3,2,5,2,2,1,2,2,9
União Corinthians,Flamengo,2024-06-20,Final,jogador,Henrique,0,770,6,8,25.0,1,5,20.0,1,3,33.3,1,2,50.0,1,2,3,2,1,0,1,2,5
União Corinthians,Flamengo,2024-06-20,Final,jogador,Splendor,0,116,0,1,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,0,0,0,1,0,0,0,0
União Corinthians,Flamengo,2024-06-20,Final,total,Total,0,0,43,79,19.0,4,26,15.4,11,53,20.8,9,17,52.9,23,26,49,10,14,1,19,18,25
União Corinthians,Flamengo,2024-06-20,Q1,jogador,Coelho,0,0,0,0,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
União Corinthians,Flamengo,2024-06-20,Q1,jogador,Cadury,0,64,0,0,,0,0,0.0,0,0,0.0,0,0,0.0,0,2,2,0,0,0,0,0,2
União Corinthians,Flamengo,2024-06-20,Q1,jogador,Vitinho,0,0,0,0,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
União Corinthians,Flamengo,2024-06-20,Q1,jogador,Arthur,1,523,2,5,20.0,0,1,0.0,1,4,25.0,0,0,0.0,2,0,2,0,2,0,1,1,1
União Corinthians,Flamengo,2024-06-20,Q1,jogador,Mateus,0,77,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,-1
União Corinthians,Flamengo,2024-06-20,Q1,jogador,Thaylor,1,600,2,6,0.0,0,0,0.0,0,6,0.0,2,2,100.0,0,1,1,1,1,0,1,2,-2
União Corinthians,Flamengo,2024-06-20,Q1,jogador,Renan,0,286,0,0,,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,1,1,0,1,0,3
União Corinthians,Flamengo,2024-06-20,Q1,jogador,Ferreira,1,536,3,2,50.0,0,0,0.0,1,2,50.0,1,2,50.0,0,0,0,0,1,0,2,1,1
União Corinthians,Flamengo,2024-06-20,Q1,jogador,Abner,1,378,0,1,0.0,0,0,0.0,0,1,0.0,0,0,0.0,1,0,1,0,0,0,0,0,0
União Corinthians,Flamengo,2024-06-20,Q1,jogador,Montipõ,1,536,6,6,50.0,0,1,0.0,3,5,60.0,0,0,0.0,2,1,3,1,0,0,1,0,7
União Corinthians,Flamengo,2024-06-20,Q1,jogador,Henrique,0,0,0,0,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
União Corinthians,Flamengo,2024-06-20,Q1,jogador,Splendor,0,0,0,0,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
União Corinthians,Flamengo,2024-06-20,Q1,total,Total,0,0,13,21,23.8,0,3,0.0,5,18,27.8,3,4,75.0,5,5,10,3,5,0,6,4,11
União Corinthians,Flamengo,2024-06-20,Q2,jogador,Coelho,0,191,0,0,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
União Corinthians,Flamengo,2024-06-20,Q2,jogador,Cadury,0,216,0,0,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,-1
União Corinthians,Flamengo,2024-06-20,Q2,jogador,Vitinho,0,245,3,3,33.3,1,3,33.3,0,0,0.0,0,0,0.0,0,0,0,1,1,0,0,0,3
União Corinthians,Flamengo,2024-06-20,Q2,jogador,Arthur,1,210,0,5,0.0,0,2,0.0,0,3,0.0,0,0,0.0,0,0,0,0,1,0,0,1,-5
União Corinthians,Flamengo,2024-06-20,Q2,jogador,Mateus,0,373,4,4,25.0,1,3,33.3,0,1,0.0,1,2,50.0,1,0,1,0,0,0,1,1,1
União Corinthians,Flamengo,2024-06-20,Q2,jogador,Thaylor,1,286,2,2,50.0,0,1,0.0,1,1,100.0,0,0,0.0,0,1,1,0,1,0,0,0,3
União Corinthians,Flamengo,2024-06-20,Q2,jogador,Renan,0,529,0,2,0.0,0,1,0.0,0,1,0.0,0,0,0.0,1,1,2,0,0,0,0,1,0
União Corinthians,Flamengo,2024-06-20,Q2,jogador,Ferreira,1,141,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0.0,1,2,3,1,0,0,1,1,3
União Corinthians,Flamengo,2024-06-20,Q2,jogador,Abner,1,216,0,2,0.0,0,0,0.0,0,2,0.0,0,0,0.0,1,0,1,0,0,0,1,0,-2
União Corinthians,Flamengo,2024-06-20,Q2,jogador,Montipõ,1,314,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,1,1,1,0,0,3
União Corinthians,Flamengo,2024-06-20,Q2,jogador,Henrique,0,279,0,3,0.0,0,2,0.0,0,1,0.0,0,0,0.0,1,0,1,0,0,0,0,0,-2
União Corinthians,Flamengo,2024-06-20,Q2,jogador,Splendor,0,0,0,0,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
União Corinthians,Flamengo,2024-06-20,Q2,total,Total,0,0,9,23,13.0,2,14,14.3,1,9,11.1,1,2,50.0,5,5,10,3,4,1,3,4,3
União Corinthians,Flamengo,2024-06-20,Q3,jogador,Coelho,0,0,0,0,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
União Corinthians,Flamengo,2024-06-20,Q3,jogador,Cadury,0,291,1,3,0.0,0,0,0.0,0,3,0.0,1,2,50.0,0,1,1,1,1,0,0,1,0
União Corinthians,Flamengo,2024-06-20,Q3,jogador,Vitinho,0,291,2,3,33.3,0,0,0.0,1,3,33.3,0,0,0.0,2,0,2,0,0,0,0,0,2
União Corinthians,Flamengo,2024-06-20,Q3,jogador,Arthur,1,460,0,0,,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,2,0,1
União Corinthians,Flamengo,2024-06-20,Q3,jogador,Mateus,0,140,0,2,0.0,0,1,0.0,0,1,0.0,0,0,0.0,1,2,3,0,0,0,0,0,0
União Corinthians,Flamengo,2024-06-20,Q3,jogador,Thaylor,1,309,0,3,0.0,0,1,0.0,0,2,0.0,0,0,0.0,0,2,2,0,0,0,0,0,-2
União Corinthians,Flamengo,2024-06-20,Q3,jogador,Renan,0,483,0,3,0.0,0,0,0.0,0,3,0.0,0,0,0.0,1,1,2,0,0,0,0,0,-2
União Corinthians,Flamengo,2024-06-20,Q3,jogador,Ferreira,1,117,0,0,,0,0,0.0,0,0,0.0,0,2,0.0,0,1,1,0,0,0,1,1,-1
